('Elliot Williams', '/players/w/williel01.html')
('Kent Bazemore', '/players/b/bazemke01.html')
('Justin Dentmon', '/players/d/dentmju01.html')
('Joe Alexander', '/players/a/alexajo01.html')
('Marco Belinelli', '/players/b/belinma01.html')
('Skal Labissière', '/players/l/labissk01.html')
('Devin Booker', '/players/b/bookede01.html')
('Marshall Plumlee', '/players/p/plumlma02.html')
('Benoit Benjamin', '/players/b/benjabe01.html')
('DeMarcus Nelson', '/players/n/nelsode01.html')
('Mason Plumlee', '/players/p/plumlma01.html')
('Vin Baker', '/players/b/bakervi01.html')
('Mark Hendrickson', '/players/h/hendrma01.html')
('Derek Fisher', '/players/f/fishede01.html')
('John Starks', '/players/s/starkjo01.html')
('Mike Tobey', '/players/t/tobeymi01.html')
('Marquis Daniels', '/players/d/daniema01.html')
('Shane Edwards', '/players/e/edwarsh01.html')
('Joe Young', '/players/y/youngjo01.html')
('Ndudi Ebi', '/players/e/ebind01.html')
('Jordan Clarkson', '/players/c/clarkjo01.html')
('Michael Carter-Williams', '/players/c/cartemi01.html')
